iter	Logloss
0	0.65866877
1	0.6305022696
2	0.6045114387
3	0.5891070221
4	0.5754102111
5	0.5662710739
6	0.5520201445
7	0.5423678086
8	0.521305207
9	0.5150473271
10	0.502976954
11	0.4893228687
12	0.4763849268
13	0.466359608
14	0.4602697692
15	0.4516276941
16	0.444734085
17	0.4328082105
18	0.4246044179
19	0.4181391195
20	0.4126572051
21	0.4072740814
22	0.4010396093
23	0.3939966964
24	0.3916033879
25	0.3834722836
26	0.3798763755
27	0.3757123936
28	0.3677863259
29	0.3635310004
30	0.3585162077
31	0.3524108047
32	0.3496319969
33	0.3459220129
34	0.3373114276
35	0.3338478717
36	0.3284496337
37	0.3251120853
38	0.3202427385
39	0.3148975083
40	0.3112216874
41	0.3073367263
42	0.3044288365
43	0.2966639069
44	0.2931523518
45	0.2887614532
46	0.2857693844
47	0.282148482
48	0.2758418736
49	0.270356704
50	0.2660717386
51	0.262806908
52	0.2606455394
53	0.2594405392
54	0.257507422
55	0.251823374
56	0.2492220891
57	0.2456980818
58	0.2434956252
59	0.2376787697
60	0.2338854807
61	0.2322012526
62	0.2298983047
63	0.2245901742
64	0.223984716
65	0.2206994392
66	0.2185314385
67	0.2159621069
68	0.2129712606
69	0.2085467984
70	0.2074692243
71	0.2053007337
72	0.2026144506
73	0.2011574964
74	0.1994477439
75	0.1955871563
76	0.1938846358
77	0.1919513031
78	0.1902743147
79	0.1871647071
80	0.1859574817
81	0.1851922941
82	0.1847209237
83	0.1832923018
84	0.182593499
85	0.1807572444
86	0.1797315967
87	0.1766383549
88	0.175701106
89	0.173685292
90	0.1704019286
91	0.1690369716
92	0.1675034129
93	0.1648928962
94	0.1620565668
95	0.1609254107
96	0.1602948115
